# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
5.1437e+00 6.1541e-04 1.8342e-05
5.1513e+00 6.7966e-04 1.8781e-05
5.1589e+00 7.8467e-04 1.9240e-05
5.1665e+00 7.9965e-04 1.9215e-05
5.1740e+00 7.7443e-04 1.9496e-05
5.1816e+00 8.7523e-04 2.0215e-05
5.1891e+00 9.2075e-04 2.0662e-05
5.2284e+00 7.9122e-04 3.3141e-06
5.2903e+00 7.6021e-04 3.2513e-06
5.3511e+00 7.0810e-04 3.1515e-06
5.4106e+00 6.3203e-04 3.0360e-06
5.4690e+00 5.7141e-04 3.0282e-06
5.5264e+00 5.4200e-04 3.0674e-06
5.5829e+00 4.9942e-04 3.0233e-06
5.6386e+00 4.8822e-04 2.9929e-06
5.6933e+00 4.7242e-04 2.9874e-06
5.7472e+00 4.5237e-04 2.8972e-06
5.8004e+00 4.5814e-04 2.9873e-06
5.8528e+00 4.4192e-04 3.0297e-06
5.9043e+00 4.2812e-04 3.0559e-06
5.9552e+00 4.5174e-04 3.0342e-06
6.0053e+00 4.8245e-04 3.2824e-06
6.0547e+00 5.1045e-04 2.9282e-06
6.1035e+00 5.0700e-04 3.3681e-06
6.1516e+00 5.1944e-04 3.3644e-06
6.1990e+00 5.7247e-04 3.4917e-06
6.2459e+00 6.1289e-04 3.5550e-06
6.2921e+00 6.6174e-04 3.7101e-06
6.3378e+00 6.0635e-04 3.5717e-06
6.3830e+00 5.1927e-04 3.4092e-06
6.4276e+00 4.2959e-04 3.2061e-06
6.5587e+00 3.4461e-04 3.1027e-06
6.6016e+00 3.4052e-04 3.1116e-06
6.6440e+00 3.6700e-04 3.2775e-06
6.6861e+00 4.0210e-04 3.4183e-06
6.7277e+00 4.3539e-04 3.5745e-06
6.7691e+00 4.1642e-04 3.6305e-06
6.8100e+00 4.0392e-04 3.3953e-06
6.8507e+00 4.0732e-04 3.3841e-06
6.8911e+00 4.6332e-04 3.7387e-06
6.9310e+00 4.7799e-04 3.9216e-06
6.9707e+00 4.9910e-04 3.4084e-06
7.0101e+00 4.3845e-04 3.7645e-06
7.0490e+00 4.2208e-04 3.7013e-06
7.0878e+00 4.0204e-04 3.6603e-06
7.1262e+00 4.0522e-04 3.7271e-06
7.1643e+00 3.7722e-04 3.5737e-06
7.2022e+00 3.6331e-04 3.6250e-06
7.2396e+00 3.3349e-04 3.5702e-06
7.2769e+00 3.2337e-04 3.6083e-06
7.3138e+00 3.0976e-04 3.5073e-06
7.3505e+00 2.9331e-04 3.5581e-06
7.3869e+00 2.9090e-04 3.5386e-06
7.4230e+00 2.9030e-04 3.6047e-06
7.4588e+00 3.0598e-04 3.6105e-06
7.4944e+00 3.1791e-04 3.7419e-06
7.5297e+00 3.2809e-04 3.7875e-06
7.5648e+00 3.4336e-04 3.8628e-06
7.5996e+00 3.5443e-04 3.8479e-06
7.6342e+00 3.2894e-04 3.6659e-06
7.6685e+00 2.9060e-04 3.6605e-06
7.7027e+00 2.4239e-04 3.6285e-06
7.7365e+00 2.4730e-04 3.5988e-06
7.7702e+00 2.6822e-04 3.7108e-06
7.8036e+00 2.9377e-04 3.8705e-06
7.8367e+00 3.0521e-04 3.8881e-06
7.8698e+00 3.1787e-04 3.8467e-06
7.9025e+00 3.3721e-04 3.9678e-06
