# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.4475e+00 1.3433e-03 7.2382e-06
9.4728e+00 1.3650e-03 7.2016e-06
9.4979e+00 1.4294e-03 7.4186e-06
9.5230e+00 1.4801e-03 7.4807e-06
9.5479e+00 1.6036e-03 8.0773e-06
9.5728e+00 1.6394e-03 8.1946e-06
9.5975e+00 1.5774e-03 7.8301e-06
9.6222e+00 1.4504e-03 7.7442e-06
9.6467e+00 1.3873e-03 7.7667e-06
9.6711e+00 1.4030e-03 7.7010e-06
9.6955e+00 1.4257e-03 7.7998e-06
9.7197e+00 1.4598e-03 8.0553e-06
9.7439e+00 1.5440e-03 8.2392e-06
9.7679e+00 1.5380e-03 8.2791e-06
9.7919e+00 1.6383e-03 8.5091e-06
9.8159e+00 1.7532e-03 8.7355e-06
9.8396e+00 1.6056e-03 8.5062e-06
9.8633e+00 1.4232e-03 8.3845e-06
9.8869e+00 1.3696e-03 8.5118e-06
9.9104e+00 1.4259e-03 8.4681e-06
9.9338e+00 1.4696e-03 8.7549e-06
9.9571e+00 1.6355e-03 8.5621e-06
9.9803e+00 1.8738e-03 8.8760e-06
1.0003e+01 1.6286e-03 9.2224e-06
1.0027e+01 1.5631e-03 9.1530e-06
1.0050e+01 1.2964e-03 9.8663e-06
1.0073e+01 1.2686e-03 9.0221e-06
1.0095e+01 1.3362e-03 9.4012e-06
1.0118e+01 1.5692e-03 9.3095e-06
1.0141e+01 1.7914e-03 9.4264e-06
1.0163e+01 1.8697e-03 9.7762e-06
1.0186e+01 1.9024e-03 1.0100e-05
1.0209e+01 1.7637e-03 9.7811e-06
1.0230e+01 1.7272e-03 9.9678e-06
1.0253e+01 1.6830e-03 9.9709e-06
1.0275e+01 1.5516e-03 1.0007e-05
1.0297e+01 1.3614e-03 9.6033e-06
1.0319e+01 1.1508e-03 9.3137e-06
1.0341e+01 1.0163e-03 9.0886e-06
1.0363e+01 8.5460e-04 8.8962e-06
1.0385e+01 8.4837e-04 9.3328e-06
1.0407e+01 8.5791e-04 9.2289e-06
1.0428e+01 9.5817e-04 9.8632e-06
1.0450e+01 9.5566e-04 9.9415e-06
1.0471e+01 1.0009e-03 1.0364e-05
1.0493e+01 9.9603e-04 1.0488e-05
1.0514e+01 8.4737e-04 1.0635e-05
1.0536e+01 1.0756e-03 1.0425e-05
1.0557e+01 1.1587e-03 1.0520e-05
1.0578e+01 1.1960e-03 1.0904e-05
1.0599e+01 1.1802e-03 1.1143e-05
1.0620e+01 1.2345e-03 1.1117e-05
1.0641e+01 1.1740e-03 1.1730e-05
1.0662e+01 1.1236e-03 1.1618e-05
1.0683e+01 9.5903e-04 1.1971e-05
1.0704e+01 8.7218e-04 1.1827e-05
1.0724e+01 8.3318e-04 1.1958e-05
1.0745e+01 8.5474e-04 1.2011e-05
1.0766e+01 8.6427e-04 1.2392e-05
1.0787e+01 1.0190e-03 1.2835e-05
1.0808e+01 1.0660e-03 1.3359e-05
1.0828e+01 1.1203e-03 1.3566e-05
1.0848e+01 1.1497e-03 1.3859e-05
1.0868e+01 1.1801e-03 1.3870e-05
1.0889e+01 1.1354e-03 1.4122e-05
1.0909e+01 1.1443e-03 1.4137e-05
1.0930e+01 1.1201e-03 1.4245e-05
1.0950e+01 1.1558e-03 1.5536e-05
1.0969e+01 1.0474e-03 1.5491e-05
1.0990e+01 1.0601e-03 1.5696e-05
1.1010e+01 9.8133e-04 1.6196e-05
1.1030e+01 1.0493e-03 1.5281e-05
1.1050e+01 1.3107e-03 1.7221e-05
1.1070e+01 1.4076e-03 1.6883e-05
1.1089e+01 1.4221e-03 1.7845e-05
1.1109e+01 1.4851e-03 1.7951e-05
1.1129e+01 1.4422e-03 1.8242e-05
1.1149e+01 1.5192e-03 1.9010e-05
1.1168e+01 1.4516e-03 1.9081e-05
1.1188e+01 1.4006e-03 1.8962e-05
1.1207e+01 1.3754e-03 2.0637e-05
1.1226e+01 1.2567e-03 2.0141e-05
1.1246e+01 1.2109e-03 2.1088e-05
1.1265e+01 1.2708e-03 2.0812e-05
1.1285e+01 1.4572e-03 2.1952e-05
1.1304e+01 1.4790e-03 2.1439e-05
1.1324e+01 1.3913e-03 2.2572e-05
1.1342e+01 1.5158e-03 2.2204e-05
1.1361e+01 1.4757e-03 2.3187e-05
1.1380e+01 1.5469e-03 2.3530e-05
1.1400e+01 1.4881e-03 2.3707e-05
1.1419e+01 1.0330e-03 2.1781e-05
1.1438e+01 1.1463e-03 2.3918e-05
1.1456e+01 1.0045e-03 2.2550e-05
1.1475e+01 1.1584e-03 2.4838e-05
1.1494e+01 1.4401e-03 2.4923e-05
1.1512e+01 1.2530e-03 2.5423e-05
1.1531e+01 9.4343e-04 2.2949e-05
1.1550e+01 1.1044e-03 2.6275e-05
1.1569e+01 1.3736e-03 2.6628e-05
1.1586e+01 1.3964e-03 2.8152e-05
1.1605e+01 1.2761e-03 2.7492e-05
1.1624e+01 1.3444e-03 2.8524e-05
1.1642e+01 1.3057e-03 2.8518e-05
1.1661e+01 1.2691e-03 2.7092e-05
1.1679e+01 1.2490e-03 3.0124e-05
1.1696e+01 1.1745e-03 3.1056e-05
1.1715e+01 1.1403e-03 3.0665e-05
1.1733e+01 1.0782e-03 3.2878e-05
1.1751e+01 1.1792e-03 3.3131e-05
1.1770e+01 1.1709e-03 3.4776e-05
1.1788e+01 1.1770e-03 3.4361e-05
1.1806e+01 1.1682e-03 3.5977e-05
