# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
9.2681e+00 2.2148e-04 1.7138e-06
9.2941e+00 2.0670e-04 1.7076e-06
9.3201e+00 2.0237e-04 1.6514e-06
9.3459e+00 2.0563e-04 1.7204e-06
9.3715e+00 2.1324e-04 1.7509e-06
9.3971e+00 2.2443e-04 1.7892e-06
9.4226e+00 2.2463e-04 1.7803e-06
9.4480e+00 2.1823e-04 1.7903e-06
9.4732e+00 2.1650e-04 1.8061e-06
9.4984e+00 2.1991e-04 1.8484e-06
9.5235e+00 2.2528e-04 1.8601e-06
9.5484e+00 2.3497e-04 1.8966e-06
9.5732e+00 2.4606e-04 1.8972e-06
9.5980e+00 2.4083e-04 1.9519e-06
9.6226e+00 2.3161e-04 1.9198e-06
9.6473e+00 2.2025e-04 2.0062e-06
9.6717e+00 2.1111e-04 1.9346e-06
9.6961e+00 2.1483e-04 1.9530e-06
9.7203e+00 2.2716e-04 1.9765e-06
9.7445e+00 2.4943e-04 2.0400e-06
9.7685e+00 2.6033e-04 2.0583e-06
9.7925e+00 2.7167e-04 2.1298e-06
9.8163e+00 2.5856e-04 2.1068e-06
9.8401e+00 2.4223e-04 2.0789e-06
9.8638e+00 2.2459e-04 2.0582e-06
9.8875e+00 2.2004e-04 2.1661e-06
9.9110e+00 2.3161e-04 2.1277e-06
9.9344e+00 2.5952e-04 2.2051e-06
9.9577e+00 2.8583e-04 2.2563e-06
9.9809e+00 2.9546e-04 2.3029e-06
1.0004e+01 2.9326e-04 2.3036e-06
1.0027e+01 2.7850e-04 2.3440e-06
1.0050e+01 2.5701e-04 2.3210e-06
1.0073e+01 2.3995e-04 2.1743e-06
1.0096e+01 2.5211e-04 2.3396e-06
1.0118e+01 2.6586e-04 2.4350e-06
1.0141e+01 2.9973e-04 2.5057e-06
1.0164e+01 3.0624e-04 2.5645e-06
1.0187e+01 3.1335e-04 2.5781e-06
1.0209e+01 3.0754e-04 2.6279e-06
1.0231e+01 2.9434e-04 2.6144e-06
1.0253e+01 2.7010e-04 2.5918e-06
1.0276e+01 2.3178e-04 2.5152e-06
1.0298e+01 2.0456e-04 2.5365e-06
1.0320e+01 1.6410e-04 2.4286e-06
1.0342e+01 1.2264e-04 2.3654e-06
1.0363e+01 8.9748e-05 2.3308e-06
1.0385e+01 9.3835e-05 2.4563e-06
1.0407e+01 9.9661e-05 2.4904e-06
1.0429e+01 1.1194e-04 2.5868e-06
1.0451e+01 1.2594e-04 2.5912e-06
1.0472e+01 1.3358e-04 2.7243e-06
1.0493e+01 1.4028e-04 2.7445e-06
1.0515e+01 1.3254e-04 2.8042e-06
1.0536e+01 1.5185e-04 2.8295e-06
1.0558e+01 1.6023e-04 2.9402e-06
1.0579e+01 1.7100e-04 2.9728e-06
1.0600e+01 1.7857e-04 3.0245e-06
1.0621e+01 1.8887e-04 3.3357e-06
1.0642e+01 1.6780e-04 3.2808e-06
1.0663e+01 1.4965e-04 3.0030e-06
1.0684e+01 1.1593e-04 3.1330e-06
1.0705e+01 9.9171e-05 3.1174e-06
1.0726e+01 9.6216e-05 3.2262e-06
1.0746e+01 9.4222e-05 3.2012e-06
1.0767e+01 1.0732e-04 3.3455e-06
1.0787e+01 1.2470e-04 3.3779e-06
1.0808e+01 1.3665e-04 3.4635e-06
1.0829e+01 1.4528e-04 3.5579e-06
1.0850e+01 1.5039e-04 3.6341e-06
1.0869e+01 1.6317e-04 3.6850e-06
1.0890e+01 1.5878e-04 3.7483e-06
1.0910e+01 1.6375e-04 3.7522e-06
